Likes,Feature,Value
139441,val1,2752
139441,val2,5091
139441,val3,178
139441,val4,109
139441,val5,159
139441,val6,3078
139441,val7,1640
139441,val8,119
139441,val1,10460
139441,val2,19057
139441,val3,1457
139441,val4,1361
139441,val5,1674
139441,val6,11710
139441,val7,6112
139441,val8,1108
139441,val1,2413
139441,val2,4373
139441,val3,177
139441,val4,113
139441,val5,154
139441,val6,2812
139441,val7,1503
139441,val8,132
139441,val1,50128
139441,val2,87991
139441,val3,2211
139441,val4,790
139441,val5,1119
139441,val6,61027
139441,val7,32048
139441,val8,1386
139441,val1,7244
139441,val2,13594
139441,val3,671
139441,val4,410
139441,val5,580
139441,val6,6228
139441,val7,3200
139441,val8,396
139441,val1,10472
139441,val2,20849
139441,val3,1191
139441,val4,1073
139441,val5,1389
139441,val6,16034
139441,val7,7852
139441,val8,1016
139441,val1,11692
139441,val2,19479
139441,val3,481
139441,val4,265
139441,val5,364
139441,val6,15432
139441,val7,9328
139441,val8,379
139441,val1,13720
139441,val2,24137
139441,val3,537
139441,val4,232
139441,val5,305
139441,val6,19728
139441,val7,11056
139441,val8,422
139441,val1,11844
139441,val2,22538
139441,val3,1530
139441,val4,1407
139441,val5,1692
139441,val6,15220
139441,val7,7912
139441,val8,1250
139441,val1,4694
139441,val2,8668
139441,val3,280
139441,val4,183
139441,val5,250
139441,val6,4309
139441,val7,2324
139441,val8,199
139441,val1,21744
139441,val2,42334
139441,val3,4258
139441,val4,4100
139441,val5,4540
139441,val6,37849
139441,val7,18952
139441,val8,3798
139441,val1,3112
139441,val2,5590
139441,val3,208
139441,val4,127
139441,val5,145
139441,val6,3887
139441,val7,2174
139441,val8,165
139441,val1,2847
139441,val2,5133
139441,val3,193
139441,val4,115
139441,val5,133
139441,val6,3779
139441,val7,2072
139441,val8,152
139441,val1,2549
139441,val2,4896
139441,val3,249
139441,val4,134
139441,val5,168
139441,val6,3631
139441,val7,1917
139441,val8,183
138414,val1,22784
138414,val2,39941
138414,val3,887
138414,val4,337
138414,val5,417
138414,val6,34415
138414,val7,19312
138414,val8,684
138414,val1,10060
138414,val2,19680
138414,val3,1264
138414,val4,1209
138414,val5,1425
138414,val6,17272
138414,val7,8548
138414,val8,1162
138414,val1,1722
138414,val2,2981
138414,val3,163
138414,val4,123
138414,val5,148
138414,val6,1868
138414,val7,1050
138414,val8,123
138414,val1,53264
138414,val2,111785
138414,val3,1706
138414,val4,1103
138414,val5,1655
138414,val6,92512
138414,val7,39776
138414,val8,1307
138414,val1,3930
138414,val2,7509
138414,val3,130
138414,val4,86
138414,val5,112
138414,val6,5009
138414,val7,2410
138414,val8,101
138414,val1,1591
138414,val2,2825
138414,val3,121
138414,val4,88
138414,val5,111
138414,val6,2116
138414,val7,1161
138414,val8,100
138414,val1,2848
138414,val2,5066
138414,val3,200
138414,val4,142
138414,val5,184
138414,val6,3561
138414,val7,1963
138414,val8,157
138414,val1,1384
138414,val2,2467
138414,val3,15
138414,val4,15
138414,val5,20
138414,val6,2196
138414,val7,1172
138414,val8,15
138414,val1,3454
138414,val2,6853
138414,val3,118
138414,val4,104
138414,val5,130
138414,val6,6282
138414,val7,3100
138414,val8,106
138414,val1,2723
138414,val2,4888
138414,val3,176
138414,val4,118
138414,val5,143
138414,val6,2964
138414,val7,1621
138414,val8,143
138414,val1,8488
138414,val2,15294
138414,val3,1341
138414,val4,1270
138414,val5,1489
138414,val6,9684
138414,val7,5244
138414,val8,995
138458,val1,8284
138458,val2,15104
138458,val3,1521
138458,val4,1462
138458,val5,1711
138458,val6,10266
138458,val7,5372
138458,val8,1200
138458,val1,19552
138458,val2,34143
138458,val3,2806
138458,val4,2531
138458,val5,3420
138458,val6,17748
138458,val7,9824
138458,val8,1779
138458,val1,2478
138458,val2,4306
138458,val3,212
138458,val4,124
138458,val5,149
138458,val6,2612
138458,val7,1443
138458,val8,166
138895,val1,9560
138895,val2,18264
138895,val3,973
138895,val4,559
138895,val5,885
138895,val6,9217
138895,val7,4748
138895,val8,621
138895,val1,36208
138895,val2,61262
138895,val3,1141
138895,val4,1068
138895,val5,1728
138895,val6,30131
138895,val7,14112
138895,val8,559
138895,val1,4940
138895,val2,9390
138895,val3,385
138895,val4,306
138895,val5,501
138895,val6,5860
138895,val7,2930
138895,val8,273
138895,val1,1683
138895,val2,2929
138895,val3,192
138895,val4,171
138895,val5,221
138895,val6,1585
138895,val7,858
138895,val8,131
138895,val1,5280
138895,val2,9578
138895,val3,368
138895,val4,237
138895,val5,345
138895,val6,4480
138895,val7,2422
138895,val8,268
138895,val1,3002
138895,val2,5318
138895,val3,268
138895,val4,185
138895,val5,247
138895,val6,3039
138895,val7,1676
138895,val8,194
138895,val1,3766
138895,val2,7149
138895,val3,298
138895,val4,260
138895,val5,431
138895,val6,5782
138895,val7,2938
138895,val8,244
138895,val1,4512
138895,val2,7808
138895,val3,423
138895,val4,284
138895,val5,431
138895,val6,5183
138895,val7,2954
138895,val8,316
138895,val1,2690
138895,val2,4628
138895,val3,252
138895,val4,168
138895,val5,226
138895,val6,3052
138895,val7,1727
138895,val8,199
138895,val1,19800
138895,val2,28663
138895,val3,479
138895,val4,424
138895,val5,805
138895,val6,5187
138895,val7,2752
138895,val8,248
138895,val1,17576
138895,val2,33058
138895,val3,5352
138895,val4,5202
138895,val5,6547
138895,val6,23135
138895,val7,11792
138895,val8,4104
138895,val1,3290
138895,val2,6085
138895,val3,306
138895,val4,284
138895,val5,402
138895,val6,4986
138895,val7,2584
138895,val8,247
138895,val1,13280
138895,val2,24198
138895,val3,2055
138895,val4,1912
138895,val5,2720
138895,val6,17627
138895,val7,9344
138895,val8,1716
138895,val1,18480
138895,val2,28438
138895,val3,517
138895,val4,366
138895,val5,460
138895,val6,12078
138895,val7,6752
138895,val8,319
138353,val1,7268
138353,val2,13989
138353,val3,2087
138353,val4,2079
138353,val5,12074
138353,val6,13544
138353,val7,7096
138353,val8,1975
138353,val1,2645
138353,val2,4270
138353,val3,134
138353,val4,109
138353,val5,170
138353,val6,2330
138353,val7,1377
138353,val8,101
138353,val1,4284
138353,val2,8387
138353,val3,355
138353,val4,316
138353,val5,513
138353,val6,7283
138353,val7,3634
138353,val8,291
138353,val1,7968
138353,val2,13023
138353,val3,206
138353,val4,158
138353,val5,223
138353,val6,6734
138353,val7,3492
138353,val8,138
138353,val1,16576
138353,val2,30612
138353,val3,3572
138353,val4,3464
138353,val5,4802
138353,val6,24363
138353,val7,12888
138353,val8,3014
138353,val1,1925
138353,val2,3481
138353,val3,97
138353,val4,83
138353,val5,126
138353,val6,2307
138353,val7,1180
138353,val8,77
138353,val1,3786
138353,val2,7329
138353,val3,338
138353,val4,283
138353,val5,450
138353,val6,6336
138353,val7,3216
138353,val8,280
138353,val1,1536
138353,val2,3094
138353,val3,84
138353,val4,76
138353,val5,99
138353,val6,2903
138353,val7,1407
138353,val8,76
138353,val1,1728
138353,val2,3155
138353,val3,108
138353,val4,65
138353,val5,95
138353,val6,2313
138353,val7,1232
138353,val8,77
138329,val1,25248
138329,val2,40125
138329,val3,726
138329,val4,467
138329,val5,863
138329,val6,16132
138329,val7,8608
138329,val8,451
138329,val1,4894
138329,val2,8899
138329,val3,355
138329,val4,181
138329,val5,264
138329,val6,4914
138329,val7,2712
138329,val8,246
138329,val1,2935
138329,val2,5439
138329,val3,237
138329,val4,182
138329,val5,401
138329,val6,3901
138329,val7,2044
138329,val8,201
138329,val1,2425
138329,val2,4462
138329,val3,260
138329,val4,213
138329,val5,433
138329,val6,3017
138329,val7,1510
138329,val8,175
138329,val1,16416
138329,val2,31950
138329,val3,459
138329,val4,411
138329,val5,539
138329,val6,21436
138329,val7,9568
138329,val8,363
138329,val1,5812
138329,val2,10465
138329,val3,343
138329,val4,204
138329,val5,301
138329,val6,4976
138329,val7,2764
138329,val8,240
138329,val1,2545
138329,val2,4846
138329,val3,165
138329,val4,131
138329,val5,167
138329,val6,3675
138329,val7,1901
138329,val8,134
138329,val1,2257
138329,val2,4372
138329,val3,230
138329,val4,173
138329,val5,327
138329,val6,3188
138329,val7,1557
138329,val8,168
138329,val1,27072
138329,val2,84885
138329,val3,421
138329,val4,304
138329,val5,487
138329,val6,35637
138329,val7,9712
138329,val8,263
138185,val1,10940
138185,val2,27951
138185,val3,417
138185,val4,335
138185,val5,591
138185,val6,15066
138185,val7,5100
138185,val8,319
138185,val1,50912
138185,val2,164528
138185,val3,630
138185,val4,513
138185,val5,952
138185,val6,54653
138185,val7,12704
138185,val8,346
138185,val1,28752
138185,val2,47358
138185,val3,802
138185,val4,654
138185,val5,1268
138185,val6,14091
138185,val7,7456
138185,val8,408
138185,val1,27216
138185,val2,81908
138185,val3,541
138185,val4,335
138185,val5,540
138185,val6,26869
138185,val7,7760
138185,val8,315
138185,val1,2352
138185,val2,5234
138185,val3,232
138185,val4,182
138185,val5,258
138185,val6,4101
138185,val7,1761
138185,val8,181
138185,val1,3416
138185,val2,6167
138185,val3,356
138185,val4,298
138185,val5,641
138185,val6,4530
138185,val7,2388
138185,val8,280
138185,val1,2149
138185,val2,4120
138185,val3,197
138185,val4,156
138185,val5,219
138185,val6,3302
138185,val7,1640
138185,val8,161
138185,val1,53456
138185,val2,93790
138185,val3,1576
138185,val4,995
138185,val5,1469
138185,val6,32646
138185,val7,14912
138185,val8,884
138185,val1,2168
138185,val2,3891
138185,val3,211
138185,val4,168
138185,val5,202
138185,val6,2873
138185,val7,1539
138185,val8,171
137893,val1,3102
137893,val2,5939
137893,val3,360
137893,val4,288
137893,val5,512
137893,val6,3537
137893,val7,1780
137893,val8,275
137893,val1,39344
137893,val2,103050
137893,val3,588
137893,val4,460
137893,val5,695
137893,val6,39304
137893,val7,11392
137893,val8,336
137893,val1,100768
137893,val2,220447
137893,val3,2101
137893,val4,1735
137893,val5,2331
137893,val6,59658
137893,val7,18880
137893,val8,885
137893,val1,9056
137893,val2,16362
137893,val3,1006
137893,val4,847
137893,val5,1153
137893,val6,9562
137893,val7,5180
137893,val8,740
137893,val1,11444
137893,val2,46054
137893,val3,555
137893,val4,418
137893,val5,717
137893,val6,13737
137893,val7,4320
137893,val8,438
137893,val1,13544
137893,val2,30235
137893,val3,517
137893,val4,458
137893,val5,667
137893,val6,26622
137893,val7,11760
137893,val8,447
137893,val1,37376
137893,val2,68610
137893,val3,1150
137893,val4,808
137893,val5,1341
137893,val6,22100
137893,val7,10880
137893,val8,724
137893,val1,1228
137893,val2,2392
137893,val3,17
137893,val4,17
137893,val5,19
137893,val6,2392
137893,val7,1228
137893,val8,17
137177,val1,22984
137177,val2,59040
137177,val3,438
137177,val4,374
137177,val5,542
137177,val6,12716
137177,val7,4968
137177,val8,262
137177,val1,1445
137177,val2,2774
137177,val3,217
137177,val4,167
137177,val5,211
137177,val6,1924
137177,val7,1005
137177,val8,154
137177,val1,3754
137177,val2,8533
137177,val3,658
137177,val4,640
137177,val5,2085
137177,val6,6838
137177,val7,3224
137177,val8,598
137177,val1,8728
137177,val2,17827
137177,val3,2295
137177,val4,2235
137177,val5,2828
137177,val6,15418
137177,val7,7344
137177,val8,2099
137177,val1,5990
137177,val2,11123
137177,val3,657
137177,val4,361
137177,val5,512
137177,val6,5057
137177,val7,2628
137177,val8,428
137177,val1,4582
137177,val2,9193
137177,val3,454
137177,val4,306
137177,val5,431
137177,val6,3691
137177,val7,1722
137177,val8,305
137177,val1,2938
137177,val2,5799
137177,val3,321
137177,val4,243
137177,val5,379
137177,val6,3668
137177,val7,1848
137177,val8,236
137177,val1,6692
137177,val2,13092
137177,val3,199
137177,val4,108
137177,val5,141
137177,val6,7549
137177,val7,3336
137177,val8,156
137177,val1,2566
137177,val2,5244
137177,val3,384
137177,val4,280
137177,val5,469
137177,val6,3834
137177,val7,1806
137177,val8,266
137177,val1,21176
137177,val2,54779
137177,val3,330
137177,val4,228
137177,val5,329
137177,val6,13858
137177,val7,5248
137177,val8,185
137177,val1,4012
137177,val2,7955
137177,val3,550
137177,val4,319
137177,val5,477
137177,val6,4625
137177,val7,2218
137177,val8,403
137177,val1,1531
137177,val2,2838
137177,val3,212
137177,val4,189
137177,val5,1359
137177,val6,1210
137177,val7,690
137177,val8,143
137059,val1,2938
137059,val2,6056
137059,val3,374
137059,val4,283
137059,val5,483
137059,val6,4509
137059,val7,2078
137059,val8,287
137059,val1,24720
137059,val2,37240
137059,val3,845
137059,val4,564
137059,val5,850
137059,val6,14475
137059,val7,8120
137059,val8,504
137059,val1,2219
137059,val2,4545
137059,val3,287
137059,val4,220
137059,val5,329
137059,val6,3189
137059,val7,1495
137059,val8,221
137059,val1,4732
137059,val2,9303
137059,val3,607
137059,val4,352
137059,val5,518
137059,val6,6201
137059,val7,3136
137059,val8,445
137059,val1,2225
137059,val2,4239
137059,val3,310
137059,val4,216
137059,val5,289
137059,val6,2570
137059,val7,1389
137059,val8,233
137059,val1,2626
137059,val2,4943
137059,val3,316
137059,val4,213
137059,val5,299
137059,val6,3047
137059,val7,1605
137059,val8,244
137059,val1,3090
137059,val2,5744
137059,val3,391
137059,val4,257
137059,val5,360
137059,val6,3521
137059,val7,1796
137059,val8,293
137059,val1,1101
137059,val2,2548
137059,val3,324
137059,val4,287
137059,val5,2418
137059,val6,1284
137059,val7,704
137059,val8,220
137059,val1,2819
137059,val2,5230
137059,val3,318
137059,val4,218
137059,val5,303
137059,val6,3128
137059,val7,1622
137059,val8,240
137020,val1,12468
137020,val2,24917
137020,val3,2143
137020,val4,1966
137020,val5,2576
137020,val6,15850
137020,val7,7636
137020,val8,1661
137020,val1,12776
137020,val2,21893
137020,val3,785
137020,val4,539
137020,val5,881
137020,val6,13272
137020,val7,7800
137020,val8,575
137020,val1,1357
137020,val2,2453
137020,val3,37
137020,val4,37
137020,val5,55
137020,val6,2154
137020,val7,1120
137020,val8,32
137020,val1,68896
137020,val2,104952
137020,val3,2624
137020,val4,1326
137020,val5,1952
137020,val6,35707
137020,val7,19840
137020,val8,1354
137020,val1,1711
137020,val2,3174
137020,val3,288
137020,val4,245
137020,val5,339
137020,val6,2226
137020,val7,1118
137020,val8,205
137020,val1,1388
137020,val2,2544
137020,val3,224
137020,val4,219
137020,val5,931
137020,val6,2161
137020,val7,1214
137020,val8,172
137020,val1,2645
137020,val2,5472
137020,val3,357
137020,val4,315
137020,val5,482
137020,val6,4485
137020,val7,2101
137020,val8,265
137020,val1,70144
137020,val2,111745
137020,val3,3216
137020,val4,2628
137020,val5,4782
137020,val6,43671
137020,val7,20608
137020,val8,1542
137020,val1,3674
137020,val2,7221
137020,val3,452
137020,val4,330
137020,val5,487
137020,val6,3832
137020,val7,1890
137020,val8,328
136736,val1,9504
136736,val2,19556
136736,val3,1132
136736,val4,1032
136736,val5,1512
136736,val6,16018
136736,val7,7616
136736,val8,981
136736,val1,2426
136736,val2,4469
136736,val3,320
136736,val4,237
136736,val5,325
136736,val6,3120
136736,val7,1684
136736,val8,248
136736,val1,13872
136736,val2,27468
136736,val3,2664
136736,val4,2570
136736,val5,3395
136736,val6,20198
136736,val7,10432
136736,val8,2252
136736,val1,1673
136736,val2,3655
136736,val3,338
136736,val4,324
136736,val5,1619
136736,val6,2598
136736,val7,1469
136736,val8,268
136736,val1,1261
136736,val2,2158
136736,val3,37
136736,val4,37
136736,val5,49
136736,val6,1911
136736,val7,1077
136736,val8,33
136736,val1,2428
136736,val2,4510
136736,val3,311
136736,val4,238
136736,val5,323
136736,val6,2888
136736,val7,1560
136736,val8,236
136642,val1,2227
136642,val2,4070
136642,val3,369
136642,val4,314
136642,val5,430
136642,val6,3227
136642,val7,1702
136642,val8,306
136642,val1,1592
136642,val2,2749
136642,val3,370
136642,val4,356
136642,val5,414
136642,val6,2551
136642,val7,1454
136642,val8,327
136642,val1,813
136642,val2,1568
136642,val3,323
136642,val4,319
136642,val5,387
136642,val6,1402
136642,val7,695
136642,val8,280
136642,val1,32208
136642,val2,57472
136642,val3,1810
136642,val4,1490
136642,val5,2286
136642,val6,56149
136642,val7,31648
136642,val8,1724
136642,val1,729
136642,val2,1374
136642,val3,303
136642,val4,298
136642,val5,331
136642,val6,1284
136642,val7,650
136642,val8,262
136642,val1,834
136642,val2,1570
136642,val3,399
136642,val4,392
136642,val5,510
136642,val6,1390
136642,val7,704
136642,val8,351
136393,val1,786
136393,val2,1573
136393,val3,263
136393,val4,257
136393,val5,318
136393,val6,1401
136393,val7,660
136393,val8,222
136393,val1,584
136393,val2,1029
136393,val3,273
136393,val4,271
136393,val5,308
136393,val6,943
136393,val7,511
136393,val8,232
136393,val1,15816
136393,val2,30514
136393,val3,2733
136393,val4,2654
136393,val5,3289
136393,val6,23584
136393,val7,11912
136393,val8,2361
136393,val1,619
136393,val2,1096
136393,val3,257
136393,val4,254
136393,val5,292
136393,val6,951
136393,val7,516
136393,val8,217
136393,val1,617
136393,val2,1071
136393,val3,229
136393,val4,223
136393,val5,265
136393,val6,935
136393,val7,521
136393,val8,191
136393,val1,677
136393,val2,1285
136393,val3,251
136393,val4,246
136393,val5,297
136393,val6,1210
136393,val7,615
136393,val8,211
136393,val1,677
136393,val2,1240
136393,val3,236
136393,val4,228
136393,val5,264
136393,val6,1098
136393,val7,580
136393,val8,196
136393,val1,3366
136393,val2,6647
136393,val3,474
136393,val4,345
136393,val5,495
136393,val6,3180
136393,val7,1674
136393,val8,385
136393,val1,747
136393,val2,1443
136393,val3,226
136393,val4,220
136393,val5,287
136393,val6,1252
136393,val7,632
136393,val8,194
136393,val1,645
136393,val2,1117
136393,val3,195
136393,val4,192
136393,val5,224
136393,val6,989
136393,val7,554
136393,val8,166
136393,val1,754
136393,val2,1510
136393,val3,206
136393,val4,205
136393,val5,252
136393,val6,1430
136393,val7,690
136393,val8,175
136393,val1,910
136393,val2,1673
136393,val3,207
136393,val4,201
136393,val5,247
136393,val6,1503
136393,val7,782
136393,val8,176
136393,val1,3906
136393,val2,8239
136393,val3,868
136393,val4,863
136393,val5,2632
136393,val6,7736
136393,val7,3768
136393,val8,774
136393,val1,659
136393,val2,1158
136393,val3,199
136393,val4,194
136393,val5,239
136393,val6,1041
136393,val7,576
136393,val8,169
136393,val1,652
136393,val2,1331
136393,val3,214
136393,val4,206
136393,val5,249
136393,val6,1249
136393,val7,588
136393,val8,182
136393,val1,861
136393,val2,1565
136393,val3,214
136393,val4,192
136393,val5,239
136393,val6,1351
136393,val7,717
136393,val8,180
136393,val1,3690
136393,val2,7659
136393,val3,424
136393,val4,388
136393,val5,644
136393,val6,6951
136393,val7,3290
136393,val8,377
136393,val1,4664
136393,val2,9463
136393,val3,204
136393,val4,182
136393,val5,251
136393,val6,7196
136393,val7,3324
136393,val8,173
136013,val1,1080
136013,val2,2427
136013,val3,210
136013,val4,189
136013,val5,249
136013,val6,2195
136013,val7,934
136013,val8,184
136013,val1,8896
136013,val2,17202
136013,val3,1480
136013,val4,1426
136013,val5,1932
136013,val6,13838
136013,val7,7020
136013,val8,1292
136013,val1,4018
136013,val2,8617
136013,val3,428
136013,val4,374
136013,val5,616
136013,val6,6677
136013,val7,2992
136013,val8,351
136013,val1,68992
136013,val2,229733
136013,val3,1032
136013,val4,975
136013,val5,1345
136013,val6,17842
136013,val7,8032
136013,val8,635
136013,val1,13152
136013,val2,25666
136013,val3,2543
136013,val4,2438
136013,val5,3179
136013,val6,20547
136013,val7,10280
136013,val8,2278
136013,val1,31136
136013,val2,59964
136013,val3,6164
136013,val4,5934
136013,val5,9237
136013,val6,35977
136013,val7,18048
136013,val8,4376
136013,val1,16776
136013,val2,39549
136013,val3,714
136013,val4,440
136013,val5,720
136013,val6,11860
136013,val7,6200
136013,val8,590
136013,val1,50736
136013,val2,140432
136013,val3,1462
136013,val4,1450
136013,val5,8308
136013,val6,46252
136013,val7,15552
136013,val8,1275
136013,val1,5324
136013,val2,11040
136013,val3,528
136013,val4,483
136013,val5,861
136013,val6,8627
136013,val7,4054
136013,val8,448
136013,val1,18120
136013,val2,44940
136013,val3,421
136013,val4,282
136013,val5,463
136013,val6,4401
136013,val7,2616
136013,val8,327
135713,val1,2291
135713,val2,3960
135713,val3,303
135713,val4,243
135713,val5,325
135713,val6,3020
135713,val7,1723
135713,val8,253
135713,val1,10744
135713,val2,20691
135713,val3,1967
135713,val4,1877
135713,val5,2201
135713,val6,17502
135713,val7,8964
135713,val8,1834
135713,val1,3616
135713,val2,6887
135713,val3,111
135713,val4,90
135713,val5,118
135713,val6,4263
135713,val7,2138
135713,val8,93
135713,val1,39984
135713,val2,112830
135713,val3,2105
135713,val4,1921
135713,val5,3932
135713,val6,70249
135713,val7,21328
135713,val8,1609
135713,val1,4010
135713,val2,7444
135713,val3,477
135713,val4,370
135713,val5,534
135713,val6,4406
135713,val7,2362
135713,val8,354
135713,val1,6564
135713,val2,12097
135713,val3,806
135713,val4,602
135713,val5,957
135713,val6,7682
135713,val7,4024
135713,val8,563
135713,val1,8612
135713,val2,20151
135713,val3,813
135713,val4,727
135713,val5,1390
135713,val6,16890
135713,val7,7208
135713,val8,630
135713,val1,5568
135713,val2,10282
135713,val3,746
135713,val4,545
135713,val5,867
135713,val6,5696
135713,val7,3162
135713,val8,537
135700,val1,1685
135700,val2,2999
135700,val3,322
135700,val4,295
135700,val5,424
135700,val6,1794
135700,val7,953
135700,val8,237
135700,val1,3756
135700,val2,7094
135700,val3,469
135700,val4,408
135700,val5,613
135700,val6,4935
135700,val7,2556
135700,val8,365
135700,val1,2656
135700,val2,4862
135700,val3,390
135700,val4,309
135700,val5,445
135700,val6,3273
135700,val7,1722
135700,val8,309
135700,val1,5086
135700,val2,9493
135700,val3,622
135700,val4,509
135700,val5,757
135700,val6,6200
135700,val7,3298
135700,val8,489
135617,val1,2055
135617,val2,3915
135617,val3,346
135617,val4,288
135617,val5,412
135617,val6,2970
135617,val7,1507
135617,val8,277
135617,val1,9384
135617,val2,14948
135617,val3,757
135617,val4,452
135617,val5,652
135617,val6,11148
135617,val7,7020
135617,val8,604
135617,val1,3992
135617,val2,7255
135617,val3,598
135617,val4,447
135617,val5,688
135617,val6,4428
135617,val7,2420
135617,val8,435
135617,val1,7512
135617,val2,13633
135617,val3,769
135617,val4,614
135617,val5,951
135617,val6,5503
135617,val7,3260
135617,val8,530
135617,val1,11096
135617,val2,21080
135617,val3,1843
135617,val4,1724
135617,val5,2106
135617,val6,16095
135617,val7,8120
135617,val8,1604
135428,val1,1060
135428,val2,2004
135428,val3,266
135428,val4,251
135428,val5,337
135428,val6,1705
135428,val7,870
135428,val8,204
135428,val1,2790
135428,val2,4879
135428,val3,435
135428,val4,360
135428,val5,513
135428,val6,3501
135428,val7,1999
135428,val8,351
